Wavelength (nm),,Transmittance,,Reflectance
856,,0.012181865,,0.987818135
857,,0.012313824,,0.987686176
858,,0.01243949,,0.98756051
859,,0.012557527,,0.987442473
860,,0.01266664,,0.98733336
861,,0.012765607,,0.987234393
862,,0.012853299,,0.987146701
863,,0.012928721,,0.987071279
864,,0.012991037,,0.987008963
865,,0.013039595,,0.986960405
866,,0.013073947,,0.986926053
867,,0.013093863,,0.986906137
868,,0.013099333,,0.986900667
869,,0.013090569,,0.986909431
870,,0.013068002,,0.986931998
871,,0.013032266,,0.986967734
872,,0.012984192,,0.987015808
873,,0.012924778,,0.987075222
874,,0.012855167,,0.987144833
875,,0.012776608,,0.987223392
876,,0.012690432,,0.987309568
877,,0.012598011,,0.987401989
878,,0.012500742,,0.987499258
879,,0.012400021,,0.987599979
880,,0.012297227,,0.987702773
881,,0.012193711,,0.987806289
882,,0.01209078,,0.98790922
883,,0.011989674,,0.988010326
884,,0.011891566,,0.988108434
885,,0.011797557,,0.988202443
886,,0.011708672,,0.988291328
887,,0.011625869,,0.988374131
888,,0.011550049,,0.988449951
889,,0.01148205,,0.98851795
890,,0.011422654,,0.988577346
891,,0.011372589,,0.988627411
892,,0.011332535,,0.988667465
893,,0.011303137,,0.988696863
894,,0.011285017,,0.988714983
895,,0.011278786,,0.988721214
896,,0.011285052,,0.988714948
897,,0.011304437,,0.988695563
898,,0.011337573,,0.988662427
899,,0.011385115,,0.988614885
900,,0.011447746,,0.988552254
901,,0.011526187,,0.988473813
902,,0.011621206,,0.988378794
903,,0.011733633,,0.988266367
904,,0.011864363,,0.988135637
905,,0.01201437,,0.98798563
906,,0.012184716,,0.987815284
907,,0.012376559,,0.987623441
908,,0.012591164,,0.987408836
909,,0.012829912,,0.987170088
910,,0.013094318,,0.986905682
911,,0.013386036,,0.986613964
912,,0.013706875,,0.986293125
913,,0.014058806,,0.985941194
914,,0.014443972,,0.985556028
915,,0.014864692,,0.985135308
916,,0.015323472,,0.984676528
917,,0.015823004,,0.984176996
918,,0.016366167,,0.983633833
919,,0.016956016,,0.983043984
920,,0.017595761,,0.982404239
921,,0.018288735,,0.981711265
922,,0.019038349,,0.980961651
923,,0.019848017,,0.980151983
924,,0.020721063,,0.979278937
925,,0.02166058,,0.97833942
926,,0.022669251,,0.977330749
927,,0.023749119,,0.976250881
928,,0.024901287,,0.975098713
929,,0.026125564,,0.973874436
930,,0.027420033,,0.972579967
931,,0.028780544,,0.971219456
932,,0.030200175,,0.969799825
933,,0.031668638,,0.968331362
934,,0.033171719,,0.966828281
935,,0.034690816,,0.965309184
936,,0.03620266,,0.96379734
937,,0.037679348,,0.962320652
938,,0.03908882,,0.96091118
939,,0.040395882,,0.959604118
940,,0.041563804,,0.958436196
941,,0.042556463,,0.957443537
942,,0.043340847,,0.956659153
943,,0.043889662,,0.956110338
944,,0.044183709,,0.955816291
945,,0.044213652,,0.955786348
946,,0.043980885,,0.956019115
947,,0.043497406,,0.956502594
948,,0.042784576,,0.957215424
949,,0.041871069,,0.958128931
950,,0.040790376,,0.959209624
951,,0.039578184,,0.960421816
952,,0.038269936,,0.961730064
953,,0.036899025,,0.963100975
954,,0.035495487,,0.964504513
955,,0.034085227,,0.965914773
956,,0.032689747,,0.967310253
957,,0.031326292,,0.968673708
958,,0.030008082,,0.969991918
959,,0.028744746,,0.971255254
960,,0.027542847,,0.972457153
961,,0.026406385,,0.973593615
962,,0.025337275,,0.974662725
963,,0.024335898,,0.975664102
964,,0.023401474,,0.976598526
965,,0.022532392,,0.977467608
966,,0.021726504,,0.978273496
967,,0.02098131,,0.97901869
968,,0.020294072,,0.979705928
969,,0.019661962,,0.980338038
970,,0.019082154,,0.980917846
971,,0.018551883,,0.981448117
972,,0.018068509,,0.981931491
973,,0.017629555,,0.982370445
974,,0.017232712,,0.982767288
975,,0.01687585,,0.98312415
976,,0.016557018,,0.983442982
977,,0.016274449,,0.983725551
978,,0.016026578,,0.983973422
979,,0.015812031,,0.984187969
980,,0.015629622,,0.984370378
981,,0.015478355,,0.984521645
982,,0.015357407,,0.984642593
983,,0.015266128,,0.984733872
984,,0.015204043,,0.984795957
985,,0.015170856,,0.984829144
986,,0.015166454,,0.984833546
987,,0.015190908,,0.984809092
988,,0.015244464,,0.984755536
989,,0.015327554,,0.984672446
990,,0.015440803,,0.984559197
991,,0.015585028,,0.984414972
992,,0.015761266,,0.984238734
993,,0.015970782,,0.984029218
994,,0.016215082,,0.983784918
995,,0.016495922,,0.983504078
996,,0.016815336,,0.983184664
997,,0.01717564,,0.98282436
998,,0.017579473,,0.982420527
999,,0.018029823,,0.981970177
1000,,0.018530055,,0.981469945
1001,,0.019083943,,0.980916057
1002,,0.019695712,,0.980304288
1003,,0.020370054,,0.979629946
1004,,0.021112156,,0.978887844
1005,,0.021927723,,0.978072277
1006,,0.02282298,,0.97717702
1007,,0.023804665,,0.976195335
1008,,0.024879994,,0.975120006
1009,,0.026056594,,0.973943406
1010,,0.027342371,,0.972657629
1011,,0.028745301,,0.971254699
1012,,0.030273123,,0.969726877
1013,,0.031932866,,0.968067134
1014,,0.033730203,,0.966269797
1015,,0.035668561,,0.964331439
1016,,0.037747956,,0.962252044
1017,,0.039963486,,0.960036514
1018,,0.042303513,,0.957696487
1019,,0.044747542,,0.955252458
1020,,0.047263949,,0.952736051
1021,,0.049807844,,0.950192156
1022,,0.05231953,,0.94768047
1023,,0.054724162,,0.945275838
1024,,0.056933394,,0.943066606
1025,,0.058849652,,0.941150348
1026,,0.060373365,,0.939626635
